cluster_id,cluster_name,why_it_matters_2029_2030,china_policy_signal,us_policy_signal,technical_maturity_signal,supply_chain_signal,export_regulatory_risk,high_end_niche_customers,source_ids,confidence,notes
C01,MV SiC solid-state transformers,Grid bottleneck + 800VDC rack scaling makes MV-to-DC conversion a 2027-30 hard requirement,East Data West Compute + grid buildout,DOE grid modernization + CHIPS power-delivery R&D,SiC SST commercial units 96-99% RTE (vendor claim); Eaton/Delta deploying 2025-26,US 30% power-transformer shortfall (WoodMac); SiC device supply via EV chain,Medium - counter-diversion data-center red flags,Hyperscalers/neoclouds; power OEMs (Vertiv/Eaton/Delta); utilities,EN-*; SC-*; CM-*,High,Convergent EN+SC+CM evidence; lead beachhead. SST efficiency labeled vendor claim
C02,800VDC/+-400VDC rack power conversion & busways,OCP Diablo 400 + NVIDIA 800V specs gate 100kW-1MW racks,NEV/EV power-electronics base supports localization,OCP open standards; no direct US restriction,NVIDIA 800V production mid-2026/2027; +-400V leverages EV chain,650V GaN/SiC from EV supply chain mature,Medium,Hyperscalers; power-system component OEMs,EN-*; SC-*,High,NVIDIA copper-savings claim labeled vendor claim
C03,Active power-decoupling/capacitorless DC buffers,AI load swings require ride-through buffering tolerating 30% ripple,NQPF power-electronics priority,DOE reliability focus,Lab/early-product; 30% ripple tolerance demonstrated,Film-cap/SiC dependent,Low-Medium,Power OEMs; hyperscaler facility teams,EN-*,Medium-High,Hardware-software integration angle
C04,Hybrid-bonding metrology & inspection,Sub-50nm alignment is the gating bottleneck for chiplet scaling,Big Fund III funding 3D-integration tools,CHIPS hybrid-bonding metrology (NIST),W2W in production; D2W HVM-ready 2025; BESI 50nm tools end-2025,BESI ~67% of bonding-equipment market - concentration risk,High - China-fab-facing equipment Entity List exposure,Semi-equipment makers; OSATs; fabs,SC-*; CM-*,High,Reduced cleanroom burden if metrology-only
C05,Die-to-wafer hybrid-bonding process/equipment,D2W scaling to <2um pitch is core to AI accelerators,Big Fund III - Piotech/Tuojing Jianke ~450M yuan,CHIPS chiplet co-design,Applied-BESI Kinex HVM-ready 2025; 2um pitch ECTC 2025,Equipment-supply concentration; China localization push,High,Fabs; OSATs; China equipment ecosystem,SC-*; CN-*; CM-*,High,China-first + control-agnostic positioning needed
C06,Chiplet thermal characterization / steady-state thermoreflectance,Thermal limits cap 3D/chiplet density; measurement gap,Advanced-manufacturing priority,NRL FAR 6.302 sole-source (Laser Thermal Analysis),SSTR/FDTR commercial turnkey systems exist,WBG materials supply,Medium,National/defense labs; fabs; packaging houses,EX-*; SC-*; CM-*,Medium-High,Named single-source federal buyer confirmed
C07,Data-center liquid cooling / CDU / 45C loops,600kW-1MW racks exceed air cooling,East Data West Compute thermal needs,ARPA-E COOLERCHIPS,NVIDIA 45C liquid-cooled busbar; CDU to 1.8MW (vendor),Coolant/CDU supply forming,Medium,Hyperscalers; neoclouds; power OEMs,EN-*; AI-*,High,Vendor capacity claims labeled
C08,LDES power-conversion & balance-of-system,DOE 2030 cost targets + 3 GW/yr deployment by 2030,Energy/grid 15FYP priority,DOE Long Duration Storage Shot; LDES Pilot/Demo programs,Iron-air/flow/zinc demos 2027-29,Non-Li chemistries diversify supply,Low,Utilities; IPPs; data-center developers,EN-*,Medium-High,Cost-curve dependent
C09,Firm-power interface for fuel cells / behind-the-meter gas,Grid queues push onsite firm power; 15-27 GW onsite gas by 2030,Nuclear/grid priority,DOE liftoff; AEP/Bloom 1 GW precedent,SOFC commercial; gas turbine supply-constrained,Gas-turbine order books exceed capacity to 2031,Low-Medium,Utilities (AEP/Duke); hyperscalers,EN-*; CM-*,Medium,Bloom-AEP 1 GW Nov 2024 anchor
C10,Collaborative-robot safety sensing & SSM/PFL controllers,ISO 10218:2025 + China humanoid scale create safety-stack demand,Humanoid standards Feb 2026 (safety/ethics component),NIST AI RMF; ISO 10218 alignment (ANSI/RIA R15.06),ISO 10218:2025 published; SSM 220ms latency trials,Safety-rated sensor supply,Medium,Robot OEMs; integrators; >140 China humanoid makers,AI-*; CN-*,Medium-High,Compliance-as-moat
C11,Embodied-AI actuation/power subsystems (China-first),>140 humanoid OEMs need actuators/power; mass-production year,15FYP names embodied intelligence; MIIT standards 2026,Outbound-investment exposure if US capital,Manufacturing scale High; capability Low (UBTech half-efficient),Localizing supply; Nvidia-dependent compute,Medium - MCF dual-use,China humanoid OEMs; integrators,CN-*; AI-*,Medium,Capability immaturity flagged
C12,Low-altitude powertrain/thermal/airspace subsystems (China-first),LAE policy + 70-80% NEV overlap; subsystem not aircraft,NDRC LAE Dept Dec 2024; CAAC airspace,Limited US relevance,eVTOL endurance <30min (immature); manufacturing scaling,70-80% NEV three-electric overlap (Wofei Changkong),Medium,China eVTOL/drone OEMs; provincial gov programs,CN-*; AI-*,Medium-Low,Demand thinness (Jamestown) - kill if subsidy-only
C13,Rad-hard / high-temp SiC electronics,Extreme-environment compute/sensing; AI-cycle-resilient,Advanced-materials priority,DoD/DOE/national-lab pull,High-temp SiC electronics demonstrated,WBG supply; niche fabrication,Medium,Defense/space primes; national labs,EX-*; SC-*,Medium,Slower but resilient
C14,Extreme-precision metrology instruments,Single-source lab demand for high-pressure/thermal metrology,NQPF measurement priority,NIST high-pressure metrology; NRL FAR 6.302,NIST/Sandia instrument programs,Specialized optics/sensor supply,Low-Medium,NIST; NRL; national labs; fabs,EX-*; CM-*,Medium-High,FAR 6.302 single-source precedent
C15,Accident-tolerant fuel / molten-salt-resistant alloys,Gen-IV/SMR + first SMRs ~2030,Nuclear 15FYP priority,DOE ATF; INOR-8/Gen-IV programs,FeCrAl cladding; INOR-8 corrosion resistance lab-stage,Specialty-alloy supply,Low,Reactor developers; national labs,EX-*,Low-Medium,Timeline likely past 2030
C16,FDA AI/ML-enabled hardware subsystems (non-radiology),Avoid radiology saturation; PCCP framework live,NMPA green-channel favorable,FDA PCCP final Dec 2024; GMLP; IMDRF SaMD,1451 devices but 76% radiology; PCCP only 26 devices total,Sensor/edge-AI supply,Medium (FDA/MDR),Regulated device OEMs; hospitals,BM-*,Medium,Must avoid diagnostic overproduction
C17,Wearable electrochemical/microneedle biosensor subsystems,POC funding + regenerable sweat/microneedle sensing,NMPA priority,FDA biosensor pathways; reimbursement,Wearable electrochemical/microneedle demonstrated,Biosensor materials supply,Medium,Device OEMs; POC/diagnostics firms,BM-*,Medium,SaMD-adjacent; reimbursement risk
C18,Power-electronics reliability/qualification tooling,WBG reliability standards as moat for power buildout,Power-electronics localization,JEDEC JC-70; JEP194/204 SiC,GaN/SiC reliability guidelines published,Test-equipment supply,Medium,Power OEMs; SiC/GaN device makers,SC-*; EN-*,Medium,Standards-driven; avoid monitoring overproduction
